CER: 0.20
Prediction: 我喺荔枝角興華街西盪失路
Reference: 我喺荔枝角興華街西盪失路 

Prediction: 廈魚徑
Reference: 校園徑 

Prediction: 什果沙律
Reference: 什果沙律 

Prediction: 還校路北
Reference: 環校路北 

Prediction: 銅鑼灣天後廟
Reference: 銅鑼灣天后廟 

Prediction: 華信地產場夢
Reference: 華信地產財務 

Prediction: 你係唔係唔咁先
Reference: 你係唔係唔敢先 

Prediction: 天曉得
Reference: 天曉得 

Prediction: 新田大夫地
Reference: 新田大夫第 

Prediction: 如果未去過葵涌嘅健康街就真係要搵個時間去行吓
Reference: 如果未去過葵涌嘅健康街就真係要搵個時間去行吓 

Prediction: 佢剩係識講唔識左
Reference: 佢淨係識講唔識做 

Prediction: 豉汁南瓜蒸排骨飯
Reference: 豉汁南瓜蒸排骨飯 

Prediction: 海鮮拉麵
Reference: 海鮮拉麵 

Prediction: 發達同
Reference: 發達堂 

Prediction: 點布去咁底搵唔先里一加搵作
Reference: 啲孖寶系列咁抵無理由唔嗌先嚟一大碗粥 

Prediction: 的士係元朗在聽多你的來面
Reference: 的士喺元朗科業街兜左幾個圈 

Prediction: 新鮮空運到港嘅居業梨
Reference: 新鮮空運到港嘅高接梨 

Prediction: 我住喺藍田站附近
Reference: 我住喺藍田站附近 

Prediction: 個搖控太大好難用
Reference: 個遙控太大好難用 

Prediction: 落雨遮好少事 啤
Reference: 落雨啫好小事 

Prediction: 太因悉糖良志在港其間
Reference: 她欣悉唐良智在港期間 

Prediction: 今源控股
Reference: 金粵控股 

Prediction: 老友唔記得去深蒲崗爵綠街參加緩步跑練習
Reference: 老友唔記得去新蒲崗爵祿街參加緩步跑練習 

Prediction: 老師褲母朋友都因為我成即特非晚盡而大圍贈經
Reference: 老師父母朋友都因為我成績突飛猛進而大為震驚 

Prediction: 放便城下轉盛其他巴士路線內往深水埗由之旺及葵清等地區
Reference: 方便乘客轉乘其他巴士路線來往深水埗油尖旺及葵青等地區 

Prediction: 雞劃長程
Reference: 計劃詳情 

Prediction: 好耐無愛新蒲歌睦及街探舅父
Reference: 好耐無去新蒲崗六合街探舅父 

Prediction: 行又唔係機又係
Reference: 行又唔喺企又唔喺 

Prediction: 凍檸茶走冰吖唔該
Reference: 凍檸茶走冰呀唔該 

Prediction: 嬲佢都廢事
Reference: 嬲佢都費事 

Prediction: 中國水子
Reference: 中國水柿 

Prediction: 浸愛大學道
Reference: 浸會大學道 

Prediction: 黃師傅去旺角士油街幫個後生仔睇跌打
Reference: 黃師傅去旺角豉油街幫個後生仔睇跌打 

Prediction: 姨媽同我去跑馬地東青道買餸
Reference: 姨媽同我去跑馬地冬青道買餸 

Prediction: 如果佢喺上水金田南路搵唔到便利店買汽水
Reference: 如果佢喺上水金錢南路搵唔到便利店買汽水 

Prediction: 泰國街
Reference: 泰國街 

Prediction: 啊
Reference: 五 

Prediction: 漁獲街
Reference: 漁獲街 

Prediction: 中國大陸
Reference: 中國大陸 

Prediction: 我住喺荔景站附近
Reference: 我住喺荔景站附近 

Prediction: 天婦羅炸蝦拉麵
Reference: 天婦羅炸蝦拉麵 

Prediction: 八號風球好大風火炭牛湖殼街依家橫風橫雨
Reference: 八號風球好大風火炭牛湖托街依家橫風橫雨 

Prediction: 世衞於二零一三年發表了二零一三自二零兒零年的精神健康行動計劃
Reference: 世衞於二零一三年發表了二零一三至二零二零年的精神健康行動計劃 

Prediction: 安常首故
Reference: 安常守故 

Prediction: 或多好有善
Reference: 同學都好友善 

Prediction: 博航多聞
Reference: 博學多聞 

Prediction: 別檸問
Reference: 熱檸蜜 

Prediction: 堅離地臺
Reference: 堅尼地台 

Prediction: 我住喺大埔墟站附近
Reference: 我住喺大埔墟站附近 

Prediction: 六
Reference: 六 

Prediction: 佚
Reference: 一 

Prediction: 腳好
Reference: 九 

Prediction: 你讀書叻就殺你
Reference: 你讀書叻就錫你 

Prediction: 你呢隻無膽鬼
Reference: 你呢隻冇膽鬼 

Prediction: 堅設就又希我
Reference: 堅持就有希望 

Prediction: 黃師傅去長洲官音灣路幫個後生仔睇跌打
Reference: 黃師傅去長洲觀音灣路幫個後生仔睇跌打 

Prediction: 啟超道
Reference: 啟超道 

Prediction: 有個亞伯喺紅磡紅樂道唔見左個銀包
Reference: 有個亞伯喺紅磡紅樂道唔見左個銀包 

Prediction: 流浪貓喺油麻地石龍街嘅垃圾桶搵野食
Reference: 流浪貓喺油麻地石龍街嘅垃圾桶搵野食 

Prediction: 講你講去三福皮冇嚟新義
Reference: 講尼講去三幅被冇厘新意 

Prediction: 大蔥雞肉
Reference: 大蔥雞肉 

Prediction: 司機大佬唔該快啲頭先喺銅鑼灣啟清道跌左部手機
Reference: 司機大佬唔該快啲頭先喺銅鑼灣啟超道跌左部手機 

Prediction: 禮頓里
Reference: 禮頓里 

Prediction: 鳳場路
Reference: 鳳翔路 

Prediction: 並於青沙管制區收乘廣場設立轉車集
Reference: 並於青沙管制區收費廣場設立轉車站 

Prediction: 飽成中物
Reference: 飽食終日 

Prediction: 作雲心邊的人其實也很論
Reference: 作為身邊的人其實也很累 

Prediction: 老闆請我去元朗米蘭徑間餐廳食西多士飲奶茶
Reference: 老闆請我去元朗米蘭徑間餐廳食西多士飲奶茶 

Prediction: 邊個會知道元朗深涌村路邊間雲吞麵最好食
Reference: 邊個會知道元朗深涌村路邊間雲吞麵最好食 

Prediction: 中國北徑
Reference: 中國北京 

Prediction: 邊一個去會知道打角最深運道邊間雲吞麵最好食
Reference: 邊個會知道大角咀深旺道邊間雲吞麵最好食 

Prediction: 強都你夠家互衰佢冇品大個頭就打咁大緊落
Reference: 佢都未夠班好心佢冇咁大個頭就唔好戴咁大頂帽 

Prediction: 老闆請我去大圍積六尾間餐廳食西多士飲奶茶
Reference: 老闆請我去大圍積祿里間餐廳食西多士飲奶茶 

Prediction: 我喺屯門興安梨盪失路
Reference: 我喺屯門興安里盪失路 

Prediction: 細妹約左我去大圍嘅下食門道食晏飲下午茶
Reference: 細妹約左我去大圍嘅下城門道食晏飲下午茶 

Prediction: 有個老人去左柴灣永泰路道食齋
Reference: 有個老人去左柴灣永泰道食齋 

Prediction: 電視廣播
Reference: 電視廣播 

Prediction: 有無人知道流浮山深圳灣公路大橋係點去㗎
Reference: 有無人知道流浮山深圳灣公路大橋係點去㗎 

Prediction: 嗰次喺深田古東路見到有雞蛋仔格仔餅賣
Reference: 嗰次喺新田古洞路見到有雞蛋仔格仔餅賣 

Prediction: 周為仲咗好多花措樹目
Reference: 周圍種咗好多花草樹木 

Prediction: 左摸又和終於拿尿打火機
Reference: 左摸右摸終於拿了打火機 

Prediction: 畀啲心機士多次啦
Reference: 比啲心機試多次啦 

Prediction: 我做打都唔會做啲咁嘅嘢啦
Reference: 畀個天我做膽都唔會做啲咁嘅嘢啦 

Prediction: 何老師問現在錦田錦上路勸學生早啲返屋企
Reference: 何老師問現正在錦田錦上路勸學生早啲返屋企 

Prediction: 還有流感正狀的還者食用接骨六糖張後
Reference: 患有流感症狀的患者食用接骨木糖漿後 

Prediction: 比要求問無全重
Reference: 被要求文武全才 

Prediction: 連頭買左幾多個鋪位
Reference: 年頭買了多少個鋪位 

Prediction: 食日日半人藥就好啦
Reference: 吃一天半日藥就好啦 

Prediction: 肉鬆皮蛋豆腐
Reference: 肉鬆皮蛋豆腐 

Prediction: 有無人知樂航街深灣路係點去㗎慈
Reference: 有無人知道流浮山深灣路係點去㗎 

Prediction: 什腐湯飯
Reference: 什會湯飯 

Prediction: 我喺牛頭角臨福街盪失路
Reference: 我喺牛頭角臨福街盪失路 

Prediction: 菜直意
Reference: 塞席爾 

Prediction: 流浪貓喺大角咀福利街嘅垃圾桶搵野食
Reference: 流浪貓喺大角咀福利街嘅垃圾桶搵野食 

Prediction: 有無人知道安坪深骨道係點去㗎
Reference: 有無人知道昂坪深屈道係點去㗎 

Prediction: 邊個會知道荃灣海路徑邊間雲吞麵最好食
Reference: 邊個會知道荃灣海浪徑邊間雲吞麵最好食 

Prediction: 糖式粉麵類
Reference: 台式粉麵類 

Prediction: 冠尿
Reference: 官僚 

Prediction: 每天我們都會遇見許多人
Reference: 每天我們都會遇見許多人 

Prediction: 唔知你地又有咩夢想
Reference: 唔知你地又有咩夢想 

Prediction: 你上次食嗰個黑松路炒蛋配牛有果多士呀
Reference: 你上次食嗰個黑松露炒蛋配牛油果吐司啊 

Prediction: 改變正治睇制
Reference: 改變政治體制 

Prediction: 四百四十萬
Reference: 四百四十萬 

Prediction: 巴貝多
Reference: 巴貝多 

Prediction: 請問我想去屯門環翠街要搭乜嘢車先去到
Reference: 請問我想去屯門瑜翠街要搭乜嘢車先去到 

Prediction: 八號風球好大風旺角甘臨街依家橫風橫雨
Reference: 八號風球好大風旺角甘霖街依家橫風橫雨 

Prediction: 啤核士街
Reference: 爹核士街 

Prediction: 學生話佢知白石窩新村路係喺西貢但係唔知有冇小巴經嗰度
Reference: 學生話佢知白石窩新村路係喺西貢但係唔知有冇小巴經嗰度 

Prediction: 歌和老街
Reference: 歌和老街 

Prediction: 更家開始街酒
Reference: 更加開始戒酒 

Prediction: 司機大佬唔該快啲頭先喺屯門和屏徑跌左部手機
Reference: 司機大佬唔該快啲頭先喺屯門和平徑跌左部手機 

Prediction: 蒲肚亞
Reference: 葡萄牙 

Prediction: 但願大家心裏苦足
Reference: 但願大家心裏富足 

Prediction: 我趕緊過黎
Reference: 我趕緊過嚟 

Prediction: 幅式呼級法練扎
Reference: 腹式呼吸法練習 

Prediction: 大嫂要去沙頭角沙頭角公路禾坑段嗰度買啲嘢
Reference: 大嫂要去沙頭角沙頭角公路禾坑段嗰度買啲嘢 

Prediction: 快富街
Reference: 快富街 

Prediction: 老友唔記得去屏山灰沙圍南路參加緩步跑練習
Reference: 老友唔記得去屏山灰沙圍南路參加緩步跑練習 

Prediction: 泰式炒鬼店
Reference: 泰式炒貴刁 

Prediction: 那歡後的輩在我眼前停下來
Reference: 那寬厚的背在我眼前停下來 

Prediction: 到別時他們難令真地和摸壓上
Reference: 道別時她們還認真地和我握手 

Prediction: 問我想去荃灣青山公路汀酒段要搭乜嘢車先去到
Reference: 請問我想去荃灣青山公路汀九段要搭乜嘢車先去到 

Prediction: 嘉林邊道
Reference: 嘉林邊道 

Prediction: 有個老人去左葵涌永基路食齋
Reference: 有個老人去左葵涌永基路食齋 

Prediction: 胡牛他她黑
Reference: 和牛他他 

Prediction: 學妨道
Reference: 海防道 

Prediction: 經問你父庫資產之堂喺紀念前樓業出性嘅時啊候唔係條佢
Reference: 經歷負資產之痛喺幾年前樓市趨升嘅時候賣掉佢 

Prediction: 點解唔見左深水埗大南根對開嗰巴士站
Reference: 點解唔見左深水埗大南街對開嗰個巴士站 

Prediction: 表姐放學去左九龍塘義本道公園打韆鞦
Reference: 表姐放學去左九龍塘義本道公園打韆鞦 

Prediction: 避風糖雞翼
Reference: 避風塘雞翼 

Prediction: 用完是常會有力氣板你仲實水
Reference: 用盡所有力氣擺動手 

Prediction: 這人手為婆公弓於正正
Reference: 這樣走才可乾乾淨淨 

Prediction: 佢以人呢個細了呢
Reference: 我有這份量嗎 

Prediction: 落緊雨仲要趕住去大角嘴大角嘴道打乒乓波
Reference: 落緊雨仲要趕住去大角咀大角咀道打乒乓波 

Prediction: 有個老婆婆喺藍丫島索罟灣第三街等緊小巴
Reference: 有個老婆婆喺南丫島索罟灣第三街等緊小巴 

Prediction: 擔江山路
Reference: 擔桿山路 

Prediction: 表姐放學去左葵涌怡華徑公園打韆鞦
Reference: 表姐放學去左葵涌義懷徑公園打韆鞦 

Prediction: 池蘭徑
Reference: 紫蘭徑 

Prediction: 豬腳
Reference: 豬腳 

Prediction: 近日個別大學生在開學嚟帆發表香港可以業獨立自決的言能
Reference: 近日個別大學生在開學禮上發表香港可以獨立自決的言論 

Prediction: 司機大佬唔該快啲頭先喺大角咀街善街跌左部手機
Reference: 司機大佬唔該快啲頭先喺大角咀嘉善街跌左部手機 

Prediction: 家姐話要榮里係喺葵涌但係唔知巴士路線
Reference: 家姐話耀榮里係喺葵涌但係唔知巴士路線 

Prediction: 邊個住喺何文田何文田山壹號
Reference: 邊個住喺何文田何文田山一號 

Prediction: 我一番到屋企就趴係將床道喊嘞
Reference: 我一番到屋企就趴喺床度喊嘞 

Prediction: 我阿伯住喺赤柱赤柱村道五十號
Reference: 我阿伯住喺赤柱赤柱村道五十號 

Prediction: 沒有精神健康就沒有健康
Reference: 沒有精神健康就沒有健康 

Prediction: 你執濕個樣先啦
Reference: 你執執個樣先啦 

Prediction: 你知唔知點去元朗灣廟路嗰間缽仔糕
Reference: 你知唔知點去元朗媽廟路嗰間缽仔糕 

Prediction: 我緊係之我自己香度做緊咩啦
Reference: 我梗係知我自己响度做緊咩啦 

Prediction: 政府依然故後自風
Reference: 政府依然固步自封 

Prediction: 大家可以留下林政講大話時有無起捨咁站玩
Reference: 大家可以留意下林鄭講大話時有無起勢咁眨眼 

Prediction: 安平蝦卷
Reference: 安平蝦卷 

Prediction: 欣地
Reference: 印尼 

Prediction: 彼利士
Reference: 比利時 

Prediction: 我住喺屯門站附近
Reference: 我住喺屯門站附近 

Prediction: 大嫂要去上水河上鄉路嗰度買啲嘢
Reference: 大嫂要去上水河上鄉路嗰度買啲嘢 

Prediction: 被產冠為廢驗
Reference: 被診判為肺炎 

Prediction: 唔知身於危記之中就係最安全
Reference: 唔置身於危機之中就係最安全 

Prediction: 記得什麼書相説
Reference: 記得什麼書上説 

Prediction: 總算在一片運亂中到過了
Reference: 總算在一片混亂中渡過了 

Prediction: 杞人見到就唔再驚啦
Reference: 杞人見到就唔再驚喇 

Prediction: 不近而酒
Reference: 不脛而走 

Prediction: 今日唔知聽日事
Reference: 今日唔知聽日事 

Prediction: 委員會報告署再連委會重正人收集所得的政工
Reference: 委員會報告書載列委員會從證人收集所得的證供 

Prediction: 七七七
Reference: 七七七 

Prediction: 晚出的懷茶又會每兵冷的落在頭景上
Reference: 晚出的槐蠶又每每冰冷的落在頭頸上 

Prediction: 底食夾大件食多兩見
Reference: 抵食夾大件食多兩件 

Prediction: 落緊雨仲要趕住去鰂魚涌太峰路打乒乓波
Reference: 落緊雨仲要趕住去鰂魚涌太豐路打乒乓波 

Prediction: 喺度新到樹業都跌晒樂嚟
Reference: 喺度呻到樹葉都跌曬落嚟 

Prediction: 豬雜
Reference: 豬雜 

Prediction: 中國光大國際
Reference: 中國光大國際 

Prediction: 韓球醫地
Reference: 環球醫療 

Prediction: 理點知架
Reference: 你點知㗎 

Prediction: 天瑞路
Reference: 天瑞路 

Prediction: 菠蘿火腿
Reference: 菠蘿火腿 

Prediction: 時代的眼淚
Reference: 時代的眼淚 

Prediction: 第一次感到人生如似灰暗
Reference: 第一次感到人生如此灰暗 

Prediction: 說我自走
Reference: 說我自找 

Prediction: 執人口水味
Reference: 執人口水尾 

Prediction: 糖廠街
Reference: 糖廠街 

Prediction: 菠蘿牛肉
Reference: 菠蘿牛肉 

Prediction: 落緊雨仲要趕住去天瑞圍天業路打乒乓波
Reference: 落緊雨仲要趕住去天水圍天業路打乒乓波 

Prediction: 有無人知荃灣海德街係點去㗎
Reference: 有無人知道荃灣海德街係點去㗎 

Prediction: 邊個會知道元朗涌業路邊間雲吞麵最好食
Reference: 邊個會知道元朗涌業路邊間雲吞麵最好食 

Prediction: 學生話佢知療望里係喺大埔但係唔知有冇小巴經嗰度
Reference: 學生話佢知瞭望里係喺大埔但係唔知有冇小巴經嗰度 

Prediction: 表姐放學去左九龍塘怡德道公園打韆鞦
Reference: 表姐放學去左九龍塘義德道公園打韆鞦 

Prediction: 特意推出六十六問 自我餐
Reference: 特意推出六十六文自助餐 

Prediction: 梅卷
Reference: 梅卷 

Prediction: 請你食蘋喎
Reference: 請你食蘋果 

Prediction: 老江撥扇鐵後雨即妻涼
Reference: 老公潑扇謁後語即淒涼 

Prediction: 心結能否解開就看造化了
Reference: 心結能否解開就看造化了 

Prediction: 只靠著自生微弱的光讓世人看見
Reference: 只靠着自身微弱的光讓世人看見 

Prediction: 我好想同我吹他喜
Reference: 我好想同你出去睇戲 

Prediction: 菜生炒牛肉
Reference: 菜芯炒牛肉 

Prediction: 特色雞億
Reference: 特式雞翼 

Prediction: 流江華致持時公學香港運動員座御歸來
Reference: 劉江華致辭時恭賀香港運動員載譽歸來 

Prediction: 姨媽同我去堅尼地城加惠民道買餸
Reference: 姨媽同我去堅尼地城加惠民道買餸 

Prediction: 尋日有冇經過元朗馬屎寶
Reference: 尋日有無經過元朗馬屎埔 

Prediction: 蒸神爆船
Reference: 精神受損 

Prediction: 不如你研究下點整
Reference: 不如你研究吓點整 

Prediction: 你做乜嘢呀
Reference: 你做乜嘢呀 

Prediction: 有個老婆婆喺中環美鄰街等等小巴
Reference: 有個老婆婆喺中環美輪街等緊小巴 

Prediction: 面反類
Reference: 麵飯類 

Prediction: 細妹約左我去筲箕灣嘅亞公南道食晏飲下午茶
Reference: 細妹約左我去筲箕灣嘅亞公岩道食晏飲下午茶 

Prediction: 乜嘢湖佬買乜嘢藥
Reference: 乜嘢葫蘆賣乜嘢藥 

Prediction: 司機大佬唔該快啲頭先喺元朗唐仁新村路跌左部手機
Reference: 司機大佬唔該快啲頭先喺元朗唐人新村路跌左部手機 

Prediction: 杯全花之料
Reference: 貝柱花之戀 

Prediction: 加娜多徑
Reference: 嘉拿多徑 

Prediction: 流浪貓喺灣仔祥北里嘅垃圾桶搵野食
Reference: 流浪貓喺灣仔祥德里嘅垃圾桶搵野食 

Prediction: 他低血堂並且義識開始蒙戶
Reference: 她低血糖並且意識開始模糊 

Prediction: 打個伯折俾你又點話
Reference: 打個八折俾你又點話 

Prediction: 堅尼地城是美非路聯用大樓
Reference: 堅尼地城士美非路聯用大樓 

